     TELANGANA STATE LEVEL POLICE RECRUITMENT BOARD TEST - 2015
SCT PCs (Civil/AR/SARCPL/TSSP), Constables in SPF and Firemen in TS DR and Fire
                                Services Dept.
                              PRELIMINARY KEY

                      Q.No.    A        B         C        D
                       1       4        1         1        3
                       2       1        2         3        2
                       3       3        4         3        4
                       4       3        1         4        4
                       5       3        1         1        4
                       6       2        3         1        2
                       7       4        3         4        1
                       8       4        4         1        2
                       9       4        1         3        4
                       10      2        1         3        1
                       11      1        4         3        1
                       12      2        1         2        3
                       13      4        3         4        3
                       14      1        3         4        4
                       15      1        3         4        1
                       16      3        2         2        1
                       17      3        4         1        4
                       18      4        4         2        1
                       19      1        4         4        3
                       20      1        2         1        3
                       21      2        3         1        1
                       22      1        4         1        2
                       23      1        1         4        4
                       24      3        4         2        3
                       25      1        4         1        3
                       26      2        3         3        4
                       27      1        1         4        1
                       28      3        2         4        4
                       29      4        4         1        4
                       30      4        1         4        3
                       31      1        1         3        1
                       32      2        2         3        2
                       33      4        1         4        4
                       34      3        1         2        1
                       35      3        3         1        1
                       36      4        1         4        2
                       37      1        2         4        1
                       38      4        1         3        1
                       39      4        3         1        3
                       40      3        4         2        1
                       41      1        4         1        2
                       42      2        1         3        1
                       43      4        2         1        3
                       44      1        4         1        4
                       45      1        3         2        4
                       46      3        3         3        1
                       47      3        1         2        4
                       48      3        1         3        1
                       49      3        3         1        2
                       50      3        1         3        2
                       51      3        3         1        4
                       52      1        2         4        3
                       53      1        3         1        4
                       54      3        1         2        3
                       55      1        3         2        3
56    3   1   4   3
57    2   4   3   3
58    3   1   4   3
59    1   2   3   3
60    3   2   3   3
61    1   4   3   3
62    4   3   3   1
63    1   4   3   1
64    2   3   3   3
65    2   3   3   1
66    4   3   3   3
67    3   3   1   2
68    4   3   1   3
69    3   3   3   1
70    3   3   1   3
71    3   3   2   3
72    3   2   2   1
73    1   2   4   1
74    3   4   1   2
75    2   1   4   1
76    3   4   1   3
77    1   1   4   2
78    1   4   2   2
79    2   2   2   4
80    1   2   3   1
81    3   3   1   4
82    2   3   2   1
83    2   1   1   4
84    4   3   1   2
85    1   2   3   2
86    4   3   2   3
87    1   1   3   3
88    4   1   1   1
89    2   2   3   3
90    2   1   3   2
91    4   1   3   3
92    2   2   4   2
93    3   1   4   1
94    2   1   2   1
95    3   2   1   2
96    2   3   2   1
97    3   4   2   2
98    3   2   1   2
99    4   3   2   1
100   4   2   1   2
101   2   3   1   4
102   1   2   2   4
103   2   3   3   3
104   2   3   4   3
105   1   4   2   2
106   2   4   3   3
107   1   2   2   2
108   1   1   3   3
109   2   2   2   2
110   3   2   3   4
111   1   4   1   3
112   1   3   3   1
113   4   2   3   4
114   1   2   2   2
115   4   4   1   3
116   1   3   4   1
117   3   4   3   1
118   3   1   2   4
119   2   2   2   1
120   1   4   4   4
121   4   3   3   1
122   3   1   4   3
123   2   4   1   3
124   2   2   2   2
125   4   3   4   1
126   3   1   3   4
127   4   1   1   3
128   1   4   4   2
129   2   1   2   2
130   4   4   3   4
131   3   1   1   3
132   1   3   1   4
133   4   3   4   1
134   2   2   1   2
135   3   1   4   4
136   4   2   1   4
137   2   4   3   4
138   3   3   2   3
139   1   1   4   1
140   3   2   1   3
141   2   3   1   2
142   3   1   2   4
143   3   4   4   1
144   2   4   2   1
145   4   3   3   2
146   3   1   1   4
147   1   3   3   2
148   2   2   2   3
149   3   4   3   1
150   1   1   3   3
151   4   1   2   2
152   4   2   4   3
153   3   4   3   3
154   1   2   1   2
155   3   3   2   4
156   2   1   3   3
157   4   3   1   1
158   1   2   4   2
159   1   3   4   3
160   2   3   3   1
161   2   3   1   3
162   1   3   1   2
163   4   1   2   4
164   1   2   3   4
165   2   2   1   3
166   3   3   2   3
167   2   4   3   1
168   2   1   3   2
169   4   3   1   2
170   1   3   2   4
171   3   2   2   1
172   2   4   3   2
173   1   4   4   1
174   4   3   1   4
175   1   3   3   1
176   1   1   3   2
177   2   2   2   3
178   3   2   4   2
179   1   4   4   2
180   2   1   3   4
181   3   2   3   1
182   3   1   1   3
183   1   4   2   2
                                184         2          1           2            1
                                185         2          2           4            4
                                186         3          3           1            1
                                187         4          2           2            1
                                188         1          2           1            2
                                189         3          4           4            3
                                190         3          1           1            1
                                191         2          3           2            2
                                192         4          2           3            3
                                193         4          1           2            3
                                194         3          4           2            1
                                195         3          1           4            2
                                196         1          1           1            2
                                197         2          2           3            3
                                198         2          3           2            4
                                199         4          1           1            1
                                200         1          2           4            3



The objections on the preliminary key, if any, may be sent to the e-mail id: keyobjections_pc@tslprb.in on
or before 30-04-2016 5.00PM.

