               TSLPRBT-SI-FWE-2016 Arithmetic and Reasoning - Preliminary Key
Q.No   SET-A    SET-B       SET-C          SET-D        Q.No        SET-A     SET-B   SET-C   SET-D
 1      1         3           3               1            51         2        2       4       1
 2      4         3           4               3            52        3         1       2       4
 3      3         2           2               1            53        1         3       3       1
 4      1         2           3               4            54        2         4       1       4
 5      1         4           4               3            55        1         3       1       2
 6      3         1           1               2            56        1         3       3       1
 7      3         3           3               1            57        2         4       4       3
 8      4         3           1               1            58        2         4       3       3
 9      1         1           4               2            59        3         1       4       D
 10     2         2           3               2            60        4         2       4       4
 11     3         3           2               1            61        2         4       1       1
 12     1         4           1               4            62        1         2       4       3
 13     3         2           1               3            63        3         3       1       2
 14     3         3           2               1            64        3         1       4       4
 15     2         4           2               1            65        1         1       2       4
 16     4         1           1               3            66        2         3       1       2
 17     1         3           4               3            67        1         4       3       3
 18     1         1           3               4            68        3         3       3       1
 19     3         4           1               1            69        4         4       D       2
 20     4         3           1               2            70        3         4       4       1
 21     1         2           3               3            71        3         1       1       1
 22     3         1           3               1            72        4         4       3       2
 23     2         1           4               3            73        4         1       2       2
 24     1         2           1               3            74        1         4       4       3
 25     2         2           2               2            75        2         2       4       4
 26     3         1           3               4            76        4         1       2       2
 27     3         4           1               1            77        2         3       3       1
 28     2         3           3               1            78        3         3       1       3
 29     2         1           3               3            79        1         D       2       3
 30     4         1           2               4            80        1         4       1       1
 31     1         3           4               1            81        3         1       1       2
 32     3         3           1               3            82        4         3       2       1
 33     3         4           1               2            83        3         2       2       3
 34     1         1           3               1            84        4         4       3       4
 35     2         2           4               2            85        4         4       4       3
 36     3         3           1               3            86        1         2       2       3
 37     4         1           3               3            87        4         3       1       4
 38     2         3           2               2            88        1         1       3       4
 39     3         3           1               2            89        4         2       3       1
 40     4         2           2               4            90        2         1       1       2
 41     1         4           3               1            91        1         1       2       4
 42     3         1           3               3            92        3         2       1       2
 43     1         1           2               3            93        3         2       3       3
 44     4         3           2               1            94        D         3       4       1
 45     3         4           4               2            95        4         4       3       1
 46     2         1           1               3            96        1         2       3       3
 47     1         3           3               4            97        3         1       4       4
