                       TGPSC :: GROUP-I Preliminary Test
                                 Preliminary Key (MASTER)

Q.No.    KEY     Q.No.     KEY       Q.No.       KEY        Q.No.   KEY   Q.No.   KEY

 1        3       31        1          61         3          91     1     121      1
 2        4       32        4          62         4          92     2     122      2
 3        2       33        1          63         1          93     3     123      4
 4        3       34        1          64         4          94     1     124      4
 5        4       35        4          65         4          95     4     125      2
 6        4       36        3          66         1          96     2     126      2
 7        2       37        2          67         1          97     3     127      2
 8        3       38        2          68         1          98     1     128      1
 9        3       39        1          69         4          99     1     129      4
 10       4       40        1          70         2         100     3     130      4
 11       2       41        4          71         3         101      3    131      1
 12       1       42        2          72         1         102      2    132      1
 13       2       43        3          73         2         103      4    133      3
 14       4       44        3          74         3         104      3    134      2
 15       4       45        4          75         2         105      2    135      4
 16       3       46        4          76         4         106      4    136      3
 17     1 or 3    47        2          77         4         107      3    137      3
 18       1       48        3          78         2         108      1    138      1
 19       3       49        2          79         3         109      4    139      3
 20       2       50        1          80         2         110      1    140      2
 21       3       51        3          81         4         111      3    141      4
 22       2       52        3          82         2         112      3    142      3
 23       2       53        1          83         3         113      1    143      1
 24       4       54        1          84         2         114      2    144      4
 25       2       55        3          85         1         115      2    145      3
 26       2       56        3          86         1         116      3    146      3
 27       4       57        1          87         3         117      2    147      1
 28       2       58        2          88         4         118      4    148      1
 29       1       59        4          89         3         119      4    149      2
 30       2       60        3          90         3         120      1    150      3

